Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Bangladesh, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , , ,3.66,4.12,5.06,5.71,7.09
Bangladesh, SDG 6.4.2. Water Stress, %, E, , , , , , , , , , ,5.72,5.72,5.72,5.72,5.72
Barbados, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , ,68.5, , , , , , 
Barbados, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,68.5,68.5,68.5, ,68.5,68.5,68.5,68.5,68.5,68.5
Barbados, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,90.49,83.75,93.01,106.31,89.04,88.59,85.81,81.85,63.92
Barbados, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,0.7,0.64,0.59,0.6,0.6,0.61,0.51
Barbados, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,159.59,161.61,171.06,186.64,178.85,174.24,179.06,181.97,147.24
Barbados, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,49.83,54.65,51.38,50.21,51.18,51.61,41.59
Barbados, SDG 6.4.2. Water Stress, %, E, , , , , , ,101.25,101.25,87.5, , , , , , 
Barbados, SDG 6.4.2. Water Stress, %, I,43.13,52.5,61.88,71.25,80.63,99.38, , , ,87.5,87.5,87.5,87.5,87.5,87.5
Belarus, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.98,0.76, ,0.71, ,0.81, ,0.75,0.74,0.63
Belarus, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,0.74, ,0.75, ,0.83, , , 
Belarus, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,9.21,14.27,15.92,23.94,28.93,35.11,39.31,53.45,35.14,39.57
Belarus, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , , ,0.08, ,0.07,0.1
Belarus, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, I, , , , , , , , , , , , ,0.05, , 
Belarus, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,11.22,13.37,16.06,21.01,28.21,42.16,47.33,41.08,55.73,56
Belarus, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,31.4,32.03,35.43
Belarus, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , , , ,29.84, , , 
Belarus, SDG 6.4.2. Water Stress, %, E, , , , , ,6.53,6.05,5.88,5.62,5.41,5.1,5.03,4.77,4.6,4.38
Belgium, Agricultural water withdrawal as % of total renewable water resources, %, E, , , ,1.97, ,0.07,0.19,0.21,0.19,0.2, ,0.2,0.25,0.25, 
Belgium, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , ,1.34, , , , , ,0.21, , , ,0.3
Belgium, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,8.71,8.5,9.83,12.06,13.43,14.61,15.72,16.12,18.42,25.02,23.32,23.08
Belgium, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,0.66,1.2,0.78,1.07,1.26,1.44,1.14
Belgium, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,139.97,178.45,286.52,321.2,343.1,370.88,400.34,427.34,434.68,447.27,460.36,453.99
Belgium, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,55.74,60.81,67.71,78.73,102.88,95.89,97.49
Belgium, SDG 6.4.2. Water Stress, %, E, , , ,110.94,107.75,101.36,92.54,82.75,78.45,76.34,73.13,65.11,49.07,53.96,51.58
Belize, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.16,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Belize, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,8.77,7.49,7.45,7.66,10.18,11.17,11.67,8.78,8.49,7.07
